,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
5916,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2294-santa-isabel-169-miraflores-lima-lima-labok-grupo-inmobiliario,Santa Isabel 169,-12.1303717,-77.02748249999999,Santa Isabel 169,Miraflores,Entrega inmediata,"30 de Noviembre, 2023",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Lobby', 'Video vigilancia', 'Otros']",flat,Tipo 1 - 601,Piso: 6,2,119.64 m2,"$ 339,000"
5322,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2861-mixxo-chorrillos-lima-lima-avenir-grupo-inmobiliario,MIXXO,-12.1805254,-77.0015638,Av. Los Faisanes 204 - Chorrillos,Chorrillos,En planos,"30 de Agosto, 2025",Banco Interbank,"['Área de juegos para niños', 'Boulevard peatonal', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,FLAT X03B,Pisos: Entre 2 al 12,2,68.00 m2,"S/ 356,000"
160,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3281-irgoyen-128-santiago-de-surco-lima-lima-sembra-inmobiliaria,Irgoyen 128,-12.1322314,-77.0173808,Pedro Irigoyen 128,Santiago De Surco,En planos,"31 de Diciembre, 2025",Banco Scotiabank,"['Área de juegos para niños', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,T-8A,"Pisos: 3, 5, 7",2,74.00 m2,"S/ 599,900"
3834,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3221-casa-barranco-195-barranco-lima-lima-gdc-inmobiliaria,Casa Barranco 195,-12.1409252,-77.0201024,Bustamante 195,Barranco,En planos,"30 de Junio, 2025",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,X07,Piso: 5,2,55.80 m2,"S/ 540,086"
320,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2715-central-park-cercado-de-lima-lima-lima-tribeca-inmobiliaria,CENTRAL PARK,-12.078525,-77.036408,Av. Arenales 1387,Cercado de lima,En construcción,"31 de Julio, 2025",Banco Scotiabank,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,TIPO 6,Pisos: Entre 3 al 21,3,68.18 m2,"S/ 484,836"
554,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3203-condominio-villalegre-santiago-de-surco-lima-lima-la-venturosa,Condominio Villalegre,-12.1641991,-76.9895228,Esquina Jiron Dextre con Calle Daniel Mendoza (A 1 cuadra del Parque Villa Alegre),Santiago De Surco,En planos,"31 de Mayo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Sala de usos Múltiples', 'Video vigilancia', 'Otros']",flat,TIPO - 1A,Pisos: Entre 2 al 11,2,71.88 m2,"S/ 317,335"
3358,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2912-nueva-metropolis-cercado-de-lima-lima-lima-invent,Nueva Metrópolis,-12.0738104442618,-77.0329896725017,"Av. Alejandro Tirado 344, Santa Beatriz",Cercado de lima,En planos,"31 de Octubre, 2026",Banco BCP,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",duplex,6D,Piso: 23,2,87.24 m2,"S/ 531,053"
4523,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3298-cool-living-cercado-de-lima-lima-lima-promsal,Cool Living,-12.0784217,-77.0346433,Manuel del pino 265,Cercado de lima,En planos,"30 de Julio, 2027",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Club House', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,1,Pisos: Entre 3 al 23,3,72.18 m2,"S/ 470,036"
200,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2627-la-foret-san-felipe-jesus-maria-lima-lima-abril-grupo-inmobiliario,La Foret - San Felipe,-12.082678,-77.0500825,Av. San Felipe 758,Jesus Maria,En construcción,"31 de Julio, 2025",Banco BCP,"['Gimnasio', 'Karaoke', 'Lobby', 'Piscina', 'Sala de cine', 'Sala de Niños', 'Terraza', 'Otros']",flat,LF-2-X07,Pisos: Entre 3 al 22,1,43.95 m2,"S/ 319,981"
2869,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1995-condominio-felizia-chorrillos-lima-lima-la-venturosa,Condominio Felizia,-12.177773110918764,-76.9999210325216,Av. Los Faisanes 327,Chorrillos,Entrega inmediata,"31 de Diciembre, 2023",Banco BCP,"['Gimnasio', 'Lobby', 'Sala de Internet', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO TC-6,"Pisos: 10, 11, 12",3,65.15 m2,"S/ 319,445"
491,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2800-derby-182-santiago-de-surco-lima-lima-v&v-grupo-inmobiliario,DERBY 182,-12.097971285025372,-76.97209653907143,Derby 182,Santiago De Surco,En planos,"30 de Junio, 2026",Otros,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas']",flat,Tipo X01,Pisos: 14 y 16,1,44.50 m2,"S/ 391,000"
144,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2776-altos-del-rimac-etapa-5-rimac-lima-lima-besco,Altos del Rímac - Etapa 5,-12.015767270231956,-77.04267954839453,Av. A #225,Rimac,En construcción,"31 de Julio, 2024",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Club House', 'Otros']",flat,ETAPA 5 - TORRE 4 - FLAT - Tipo 2,Pisos: Entre 1 al 14,2,59.54 m2,"S/ 220,700"
3222,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1914-nius-magdalena-del-mar-lima-lima-grupo-t&c,NIUS,-12.0903598,-77.0657035,"Av. Javier Prado Oeste 140, Magdalena del Mar, Lima, Perú.",Magdalena Del Mar,En construcción,"30 de Septiembre, 2024",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas']",flat,TIPO 4,"Pisos: 21, 22, 23, 24, 25",2,53.50 m2,"S/ 448,639"
1563,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1857-condominio-esencial-santiago-de-surco-lima-lima-la-venturosa,Condominio Esencial,-12.168656986258767,-76.99251155846443,Esquina de Av. Guardia Civil Norte con Av. Los Faisanes,Santiago De Surco,Entrega inmediata,"31 de Julio, 2024",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala de usos Múltiples', 'Techo Panorámico']",flat,T32-C,Piso: 12,3,71.51 m2,"S/ 373,254"
2844,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2244-astoria-jesus-maria-lima-lima-arteco,Astoria,-12.0714477473403,-77.03876676822587,Av. República de Chile 699,Jesus Maria,Entrega inmediata,"01 de Abril, 2024",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo 7,Pisos: 5 y 6,2,55.51 m2,"S/ 427,000"
5005,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3180-mum-363-magdalena-del-mar-lima-lima-tale-inmobiliaria,MUM 363,-12.0949881,-77.0552728,Av. Javier Prado Oeste 2291,Magdalena Del Mar,En planos,"31 de Diciembre, 2026",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Zona de Parrillas', 'Otros']",flat,X1217,Piso: 12,2,71.37 m2,"S/ 617,000"
1797,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2300-garden-tower-jesus-maria-lima-lima-palace,Garden Tower,-12.073268032970883,-77.04755367626828,Avenida Jose Maria Plaza 425,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023","Banco BANBIF, Banco BCP, BBVA, Banco Pichincha, Banco GNB, Banco Interbank, Banco Scotiabank, Otros","['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Sala de Internet', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO 7,Piso: 1,1,52.50 m2,"S/ 385,750"
1475,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2436-ativa-santiago-de-surco-lima-lima-cosapi,ATIVA,-12.09812654523626,-76.97171687190692,"El Derby 160, Surco",Santiago De Surco,En planos,"18 de Julio, 2024",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala de Niños', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Departamento tipo X06,"Pisos: 4, 11, 12",2,53.20 m2,"S/ 465,507"
2954,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3274-magnolia-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario,Magnolia,-12.0916325,-77.0561863,Jr.Flora Tristán 485,Magdalena Del Mar,En planos,"31 de Diciembre, 2025",Banco Scotiabank,"['Areas verdes', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,MAG-X05,Pisos: 2 y 3,3,79.55 m2,"S/ 758,797"
